"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 08 19:55:03 GMT 2024","Sun Sep 08 19:55:12 GMT 2024","9210","tests","test_login","TestLogin","","","Login with invalid credentials",""
"passed","Sun Sep 08 19:55:16 GMT 2024","Sun Sep 08 19:55:22 GMT 2024","6169","tests","test_page_verification","TestPageVerification","","","Search Product",""
"passed","Sun Sep 08 19:55:41 GMT 2024","Sun Sep 08 19:55:56 GMT 2024","15644","tests","test_place_order","TestPlaceOrder","","","Place Order: Register while Checkout",""
"passed","Sun Sep 08 19:54:59 GMT 2024","Sun Sep 08 19:55:10 GMT 2024","10870","tests","test_login","TestLogin","","","Register with existing email",""
"passed","Sun Sep 08 19:55:14 GMT 2024","Sun Sep 08 19:55:22 GMT 2024","7714","tests","test_page_verification","TestPageVerification","","","Verify All Products and product detail page",""
"passed","Sun Sep 08 19:54:43 GMT 2024","Sun Sep 08 19:54:50 GMT 2024","7365","tests","test_contact_form","TestContactForm","","","Contact us form",""
"passed","Sun Sep 08 19:54:43 GMT 2024","Sun Sep 08 19:54:54 GMT 2024","11641","tests","test_login","TestLogin","","","Logout",""
"failed","Sun Sep 08 19:55:26 GMT 2024","Sun Sep 08 19:55:31 GMT 2024","5546","tests","test_subscription","TestSubscription","","","Verify Subscription in cart page",""
"passed","Sun Sep 08 19:54:42 GMT 2024","Sun Sep 08 19:54:58 GMT 2024","15970","tests","test_login","TestLogin","","","Login with valid credentials",""
"passed","Sun Sep 08 19:54:42 GMT 2024","Sun Sep 08 19:54:59 GMT 2024","17525","tests","test_cart_operations","TestCartOperations","","","Add Product to Cart",""
"passed","Sun Sep 08 19:55:08 GMT 2024","Sun Sep 08 19:55:10 GMT 2024","1451","tests","test_page_verification","TestPageVerification","","","Verify Test Cases Page",""
"passed","Sun Sep 08 19:54:54 GMT 2024","Sun Sep 08 19:55:03 GMT 2024","9079","tests","test_login","TestLogin","","","Register User",""
"failed","Sun Sep 08 19:55:37 GMT 2024","Sun Sep 08 19:55:43 GMT 2024","6168","tests","test_subscription","TestSubscription","","","Verify Subscription in home page",""
"broken","Sun Sep 08 19:55:04 GMT 2024","Sun Sep 08 19:55:38 GMT 2024","33881","tests","test_cart_operations","TestCartOperations","","","Verify Product Quantity in Cart",""
"passed","Sun Sep 08 19:55:14 GMT 2024","Sun Sep 08 19:55:33 GMT 2024","19694","tests","test_place_order","TestPlaceOrder","","","Place Order: Register before Checkout",""
